date,selected,scores
2025-06-13,CASH,{}
2025-06-20,CASH,{}
2025-06-27,CASH,{}
2025-07-04,CASH,{}
2025-07-11,CASH,{}
2025-07-18,CASH,{}
2025-07-25,CASH,{}
2025-08-01,CASH,{}
2025-08-08,CASH,{}
2025-08-15,CASH,{}
2025-08-22,CASH,{}
2025-08-29,CASH,{}
2025-09-05,CASH,{}
2025-09-12,CASH,{}
2025-09-19,CASH,{}
2025-09-26,CASH,{}
2025-09-30,CASH,{}
2025-10-10,CASH,{}
2025-10-17,CASH,{}
2025-10-24,CASH,{}
2025-10-31,CASH,{}
2025-11-07,CASH,{}
2025-11-14,CASH,{}
2025-11-21,CASH,{}
2025-11-28,CASH,{}
2025-12-05,"159915,513100","{""159915"": 0.236836, ""513100"": 0.146539}"
2025-12-12,"159915,518880","{""159915"": 0.267645, ""518880"": 0.133639}"
2025-12-19,"159915,518880","{""159915"": 0.214739, ""518880"": 0.158733}"
2025-12-26,"159915,518880","{""159915"": 0.222207, ""518880"": 0.179634}"
2025-12-31,"159915,518880","{""159915"": 0.202027, ""518880"": 0.130237}"
2026-01-09,"159915,510500","{""159915"": 0.247597, ""510500"": 0.208415}"
2026-01-16,"159915,510500","{""159915"": 0.234541, ""510500"": 0.215352}"
2026-01-23,"518880,510500","{""518880"": 0.281437, ""510500"": 0.23857}"
2026-01-30,"518880,159915","{""518880"": 0.313762, ""159915"": 0.212244}"
2026-02-06,"518880,159915","{""518880"": 0.2036, ""159915"": 0.148225}"
2026-02-13,"518880,510500","{""518880"": 0.227987, ""510500"": 0.144909}"
2026-02-27,"518880,510500","{""518880"": 0.254638, ""510500"": 0.174316}"
2026-03-06,"518880,510500","{""518880"": 0.192428, ""510500"": 0.106562}"
2026-03-13,"518880,510500","{""518880"": 0.19259, ""510500"": 0.106999}"
2026-03-20,"518880,510880","{""518880"": 0.068391, ""510880"": 0.062137}"
2026-03-27,"510880,159915","{""510880"": 0.056494, ""159915"": 0.010308}"
2026-04-03,"510880,518880","{""510880"": 0.031345, ""518880"": 0.01933}"
2026-04-10,"159915,510880","{""159915"": 0.041505, ""510880"": 0.013587}"
2026-04-17,"159915,510500","{""159915"": 0.128753, ""510500"": 0.049815}"
2026-04-24,"159915,510500","{""159915"": 0.091763, ""510500"": 0.030875}"
2026-04-30,"159915,510880","{""159915"": 0.100989, ""510880"": 0.045006}"
2026-05-08,"159915,510500","{""159915"": 0.146311, ""510500"": 0.102728}"
2026-05-15,"159915,510500","{""159915"": 0.186981, ""510500"": 0.076914}"
2026-05-22,"159915,513100","{""159915"": 0.178168, ""513100"": 0.124407}"
2026-05-29,"159915,513100","{""159915"": 0.219981, ""513100"": 0.158289}"
2026-06-05,"159915,513100","{""159915"": 0.193953, ""513100"": 0.107971}"
2026-06-12,"159915,513100","{""159915"": 0.091464, ""513100"": 0.07996}"
